date,investor_type,value
Jul 1996,insurance_companies,3.5964319999999996
Jul 1996,foreign_investors,0.6398559999999999
Jul 1996,bank_of_israel,3.552304
Aug 1996,public,22.062645000000003
Aug 1996,mutual_funds,5.06466
Aug 1996,providence_funds,40.29318
Aug 1996,pension_funds,0.078435
Aug 1996,banks,35.72154
Aug 1996,insurance_companies,3.5856
Aug 1996,foreign_investors,0.6498899999999999
Aug 1996,bank_of_israel,4.6052550000000005
Sep 1996,public,23.90016
Sep 1996,mutual_funds,5.088120000000001
Sep 1996,providence_funds,41.06673
Sep 1996,pension_funds,0.22173
Sep 1996,banks,37.35567
Sep 1996,insurance_companies,3.687720000000001
Sep 1996,foreign_investors,0.65352
Sep 1996,bank_of_israel,4.71468
Oct 1996,public,24.739692
Oct 1996,mutual_funds,5.255397
Oct 1996,providence_funds,42.055093
Oct 1996,pension_funds,0.250257
Oct 1996,banks,37.657720000000005
Oct 1996,insurance_companies,3.753855
Oct 1996,foreign_investors,0.703103
Oct 1996,bank_of_israel,4.7668
Nov 1996,public,25.779781
Nov 1996,mutual_funds,5.322121999999999
Nov 1996,providence_funds,42.62514
Nov 1996,pension_funds,0.180615
Nov 1996,banks,37.278936
Nov 1996,insurance_companies,3.756792
Nov 1996,foreign_investors,0.6863369999999999
Nov 1996,bank_of_israel,4.780277
Dec 1996,public,26.346442000000003
Dec 1996,mutual_funds,5.610589
Dec 1996,providence_funds,43.86572099999999
Dec 1996,pension_funds,0.196432
Dec 1996,banks,36.720507
Dec 1996,insurance_companies,4.493382
Dec 1996,foreign_investors,0.638404
Dec 1996,bank_of_israel,4.886246
Jan 1997,public,27.338964
Jan 1997,mutual_funds,5.714498
Jan 1997,providence_funds,46.169116
Jan 1997,pension_funds,0.226566
Jan 1997,banks,35.87295
Jan 1997,insurance_companies,4.657190000000001
Jan 1997,foreign_investors,0.981786
Jan 1997,bank_of_israel,4.921517000000001
Feb 1997,public,27.282532999999997
Feb 1997,mutual_funds,6.1236109999999995
Feb 1997,providence_funds,47.321127
Feb 1997,pension_funds,0.241889
Feb 1997,banks,35.608607
Feb 1997,insurance_companies,4.786855999999999
Feb 1997,foreign_investors,0.993018
Feb 1997,bank_of_israel,4.96509
Mar 1997,public,28.645818
Mar 1997,mutual_funds,6.296355999999999
Mar 1997,providence_funds,48.731714
Mar 1997,pension_funds,0.26018
Mar 1997,banks,35.241381000000004
Mar 1997,insurance_companies,4.917402
Mar 1997,foreign_investors,1.0016930000000002
Mar 1997,bank_of_israel,4.995456
Apr 1997,public,27.845346
Apr 1997,mutual_funds,7.309732
Apr 1997,providence_funds,49.721954
Apr 1997,pension_funds,0.27608699999999997
Apr 1997,banks,35.286547999999996
Apr 1997,insurance_companies,5.048448
Apr 1997,foreign_investors,0.972878
Apr 1997,bank_of_israel,5.022154
May 1997,public,29.094968999999995
May 1997,mutual_funds,6.734579
May 1997,providence_funds,50.02641100000001
May 1997,pension_funds,0.26462
May 1997,banks,35.128305
May 1997,insurance_companies,5.146859000000001
May 1997,foreign_investors,0.952632
May 1997,bank_of_israel,4.961625000000001
Jun 1997,public,28.41579
Jun 1997,mutual_funds,7.2414
Jun 1997,providence_funds,50.74344
Jun 1997,pension_funds,0.36207
Jun 1997,banks,35.87175
Jun 1997,insurance_companies,5.2835399999999995
Jun 1997,foreign_investors,1.16667
Jun 1997,bank_of_israel,5.01534
Jul 1997,public,28.886167
Jul 1997,mutual_funds,7.847846999999999
Jul 1997,providence_funds,52.720369
Jul 1997,pension_funds,0.318343
Jul 1997,banks,36.858583
Jul 1997,insurance_companies,5.439513000000001
Jul 1997,foreign_investors,1.1349619999999998
Jul 1997,bank_of_israel,5.218057
Aug 1997,public,30.458576999999995
Aug 1997,mutual_funds,7.847284999999999
Aug 1997,providence_funds,53.54209499999999
Aug 1997,pension_funds,0.33333599999999997
Aug 1997,banks,34.653054999999995
Aug 1997,insurance_companies,5.555599999999999
Aug 1997,foreign_investors,1.11112
Aug 1997,bank_of_israel,5.375043
Sep 1997,public,30.350265
Sep 1997,mutual_funds,7.756947000000001
Sep 1997,providence_funds,53.662587
Sep 1997,pension_funds,0.35950200000000004
Sep 1997,banks,34.194171000000004
Sep 1997,insurance_companies,5.613762
Sep 1997,foreign_investors,1.175295
Sep 1997,bank_of_israel,5.171298
Oct 1997,public,30.691846
Oct 1997,mutual_funds,7.850110000000001
Oct 1997,providence_funds,53.936508
Oct 1997,pension_funds,0.361244
Oct 1997,banks,33.97083
Oct 1997,insurance_companies,5.710434
Oct 1997,foreign_investors,1.125414
Oct 1997,bank_of_israel,5.3075079999999994
Nov 1997,public,30.74351
Nov 1997,mutual_funds,7.870450000000001
Nov 1997,providence_funds,54.24342000000001
Nov 1997,pension_funds,0.39004000000000005
Nov 1997,banks,34.1285
Nov 1997,insurance_companies,5.82274
Nov 1997,foreign_investors,0.82187
Nov 1997,bank_of_israel,5.2934
Dec 1997,public,28.654228000000003
Dec 1997,mutual_funds,7.628548
Dec 1997,providence_funds,53.54809399999999
